IC,DMTWSILRUYQNKFEJCAZBPGXOHV,Q
IIC,HQZGPJTMOBLNCIFDYAWVEUSRKX,E
IIIC,UQNTLSZFMREHDPXKIBVYGJCWOA,V
IR,JGDQOXUSCAMIFRVTPNEWKBLZYH,Q
IIR,NTZPSFBOKMWRCJDIVLAEYUXHGQ,E
IIIR,JVIUBHTCDYAKEQZPOSGXNRMWFL,V
UKW,QYHOGNECVPUZTFDJAXWMKISRBL,
I-K,PEZUOHXSCVFMTBGLRINQJWAYDK,Q
II-K,ZOUESYDKFWPCIQXHMVBLGNJRAT,E
III-K,EHRVXGAOBQUSIMZFLYNWKTPDJC,V
UKW-K,IMETCGFRAYSQBZXWLHKDVUPOJN,
I,EKMFLGDQVZNTOWYHXUSPAIBRCJ,Q
II,AJDKSIRUXBLHWTMCQGZNPYFVOE,E
III,BDFHJLCPRTXVZNYEIWGAKMUSQO,V
IV,ESOVPZJAYQUIRHXLNFTGKDCMWB,J
V,VZBRGITYUPSDNHLXAWMJQOFECK,Z
VI,JPGVOUMFYQBENHZRDKASXLICTW,ZM
VII,NZJHGRCXMYSWBOUFAIVLPEKQDT,ZM
VIII,FKQHTLXOCBJSPDZRAMEWNIUYGV,ZM
Beta,LEYJVCNIXWPBQMDRTAKZGFUHOS,
Gamma,FSOKANUERHMBTIYCWLQPZXVGJD,
Reflector A,EJMZALYXVBWFCRQUONTSPIKHGD,
Reflector B,YRUHQSLDPXNGOKMIEBFZCWVJAT,
Reflector C,FVPJIAOYEDRZXWGCTKUQSBNMHL,
Reflector B Thin,ENKQAUYWJICOPBLMDXZVFTHRGS,
Reflector C Thin,RDOBJNTKVEHMLFCWZAXGYIPSUQ,
